name,country,span,matches,innings,overs,madiens,runs,wickets,best_bowling_figure,average,economy,strike_rate,4-fer,5-fer
Sarfaraj Patel,LES,2021-2021,6,6,17.0,0,148,6,2/19,24.66,8.70,17.0,0,0
E Schiferli,NED,2008-2010,7,6,23.0,0,146,6,3/23,24.33,6.34,23.0,0,0
L Shafeeg,Mald,2019-2021,8,7,21.0,0,172,6,3/33,28.66,8.19,21.0,0,0
PH Shamdasani,Peru,2019-2019,4,4,12.0,1,70,6,2/8,11.66,5.83,12.0,0,0
MM Sharma,INDIA,2014-2015,8,8,23.0,0,185,6,2/28,30.83,8.04,23.0,0,0
Shoaib Qureshi,Fin,2019-2019,5,5,13.4,0,109,6,2/22,18.16,7.97,13.6,0,0
Sidhant Singh,SGP,2019-2020,11,8,23.0,0,216,6,2/27,36.00,9.39,23.0,0,0
LMP Simmons,WI,2007-2021,68,5,7.1,0,72,6,4/19,12.00,10.04,7.1,1,0
TB Sole,SCOT,2019-2019,9,6,21.0,0,137,6,2/15,22.83,6.52,21.0,0,0
BB Sran,INDIA,2016-2016,2,2,8.0,1,41,6,4/10,6.83,5.12,8.0,1,0
MWR Stokes,GUE,2019-2022,16,7,21.0,1,166,6,2/16,27.66,7.90,21.0,0,0
Tariq Aziz,PORT,2019-2019,4,4,16.0,0,70,6,3/20,11.66,4.37,16.0,0,0
Tauqeer Hussain,ESP,2019-2020,6,6,14.3,0,86,6,2/12,14.33,5.93,14.5,0,0
M Taylor,Bhm,2021-2022,11,7,15.2,0,147,6,3/35,24.50,9.58,15.3,0,0
Umair Qasim,,2021-2021,6,6,18.0,0,133,6,3/41,22.16,7.38,18.0,0,0
WPUJC Vaas,SL,2006-2007,6,6,22.0,1,128,6,2/14,21.33,5.81,22.0,0,0
Vinay Ravi,NOR,2021-2022,9,9,29.1,1,166,6,2/10,27.66,5.69,29.1,0,0
Waqas Barkat,HKG,2014-2020,30,16,33.2,0,260,6,2/13,43.33,7.80,33.3,0,0
AG Weligamage,HUN,2021-2022,10,10,31.0,0,326,6,3/45,54.33,10.51,31.0,0,0
KS Williamson,NZ,2011-2021,74,12,19.4,0,164,6,2/16,27.33,8.33,19.6,0,0
Zeshan Arif,Aut,2019-2019,3,3,7.5,0,49,6,4/10,8.16,6.25,7.8,1,0
SA Abbott,AUS,2014-2022,8,8,22.0,0,178,5,2/14,35.60,8.09,26.4,0,0
R Abdulkareem,NGA,2021-2021,7,7,15.0,0,116,5,2/18,23.20,7.73,18.0,0,0
AG Achar,SGP,2019-2020,5,5,13.0,0,76,5,2/21,15.20,5.84,15.6,0,0
Khalid Zahid,SWE,2021-2022,10,10,32.5,0,232,5,1/11,46.40,7.06,39.4,0,0
Ahsan Yousuf,Aut,2022-2022,3,3,11.0,0,98,5,3/24,19.60,8.90,13.2,0,0
Ali Khan,USA,2021-2021,5,5,18.0,0,127,5,2/30,25.40,7.05,21.6,0,0
Ali Yalmaz,HUN,2021-2022,7,6,16.0,0,150,5,2/25,30.00,9.37,19.2,0,0
Amir Zaib,PORT,2021-2021,4,4,14.0,2,84,5,2/17,16.80,6.00,16.8,0,0
Anique Uddin,DEN,2019-2021,11,6,11.0,0,77,5,2/12,15.40,7.00,13.2,0,0
R Ankad,Mex,2019-2019,8,8,23.4,1,178,5,3/22,35.60,7.52,28.4,0,0
Anshuman Rath,HKG,2015-2017,20,13,33.0,0,264,5,3/6,52.80,8.00,39.6,0,0
Arshad Hayat,CZK-R,2019-2019,7,5,10.0,0,103,5,2/15,20.60,10.30,12.0,0,0
Azmatullah Omarzai,AFG,2022-2022,5,5,16.0,0,123,5,3/22,24.60,7.68,19.2,0,0
Babar Ali,BHR,2019-2019,3,3,9.0,0,70,5,2/18,14.00,7.77,10.8,0,0
Bilawal Bhatti,PAK,2013-2015,9,9,26.0,0,255,5,2/36,51.00,9.80,31.2,0,0
D Birrell,JER,2021-2022,5,5,16.3,0,103,5,2/15,20.60,6.24,19.8,0,0
A Bishnoi,MLT,2021-2021,7,7,16.3,1,146,5,2/25,29.20,8.84,19.8,0,0
DR Briggs,ENG,2012-2014,7,6,18.0,0,199,5,2/25,39.80,11.05,21.6,0,0
KJ Coetzer,SCOT,2008-2021,70,5,11.0,0,71,5,3/25,14.20,6.45,13.2,0,0
TH David,SGP,2019-2020,14,11,27.2,0,255,5,1/18,51.00,9.32,32.8,0,0
LA Dawson,ENG,2016-2022,8,8,25.0,0,177,5,3/27,35.40,7.08,30.0,0,0
DM de Silva,SL,2015-2021,23,12,24.0,0,171,5,2/22,34.20,7.12,28.8,0,0
S Dube,INDIA,2019-2020,13,11,21.3,0,216,5,3/30,43.20,10.04,25.8,0,0
JA Duffy,NZ,2020-2021,4,4,13.0,0,75,5,4/33,15.00,5.76,15.6,1,0
JA Fitzgerald,GIBR,2019-2021,12,9,26.3,0,277,5,2/37,55.40,10.45,31.8,0,0
A Flintoff,ENG,2005-2007,7,7,25.0,0,161,5,2/23,32.20,6.44,30.0,0,0
M Fru,CAM,2021-2021,4,4,13.0,0,137,5,3/42,27.40,10.53,15.6,0,0
R Frylinck,SA,2017-2018,3,3,10.0,0,62,5,2/20,12.40,6.20,12.0,0,0
Garret Banner,Blz,2019-2021,7,6,22.0,1,162,5,2/18,32.40,7.36,26.4,0,0
S Gasteratos,GRC,2021-2021,4,4,12.5,1,95,5,2/4,19.00,7.40,15.4,0,0
WT Gavera,PNG,2015-2017,6,6,17.0,1,113,5,3/17,22.60,6.64,20.4,0,0
J Ghadiyali,,2021-2021,6,5,12.2,0,73,5,3/24,14.60,5.91,14.8,0,0
DAS Gunaratne,SL,2016-2017,12,10,24.5,0,204,5,1/11,40.80,8.21,29.8,0,0
AM Guruge,UAE,2014-2015,5,5,16.0,0,125,5,2/18,25.00,7.81,19.2,0,0
Habib Khan,EST,2021-2021,6,6,20.1,0,142,5,3/18,28.40,7.04,24.2,0,0
Hamid Mahmood,SWE,2022-2022,4,4,14.0,0,63,5,3/10,12.60,4.50,16.8,0,0
K Hinds,Bhm,2021-2021,6,6,22.0,0,158,5,3/36,31.60,7.18,26.4,0,0
JJ Huo,MOZ,2019-2021,11,6,18.1,0,110,5,3/14,22.00,6.05,21.8,0,0
Imran Ameer,MLT,2022-2022,6,5,15.0,0,131,5,2/22,26.20,8.73,18.0,0,0
Imran Butt,BHR,2020-2020,4,4,12.0,0,104,5,2/24,20.80,8.66,14.4,0,0
Imran Yousaf,Saudi,2020-2021,6,6,19.0,0,141,5,2/21,28.20,7.42,22.8,0,0
Ishtiaq Ahmad,Saudi,2021-2021,4,4,16.0,0,102,5,2/26,20.40,6.37,19.2,0,0
VR Iyer,INDIA,2021-2022,9,4,9.1,0,75,5,2/23,15.00,8.18,11.0,0,0
Kaleem Sana,CAN,2022-2022,5,5,19.0,1,104,5,2/16,20.80,5.47,22.8,0,0
MS Kasprowicz,AUS,2005-2005,2,2,7.0,0,57,5,4/29,11.40,8.14,8.4,1,0
M Kpaka,SLE,2021-2021,7,7,16.5,0,95,5,4/11,19.00,5.64,20.2,1,0
UKPW Kumaranayaka,KUW,2019-2021,8,8,30.0,0,240,5,2/26,48.00,8.00,36.0,0,0
GD McGrath,AUS,2005-2005,2,2,8.0,0,79,5,3/31,15.80,9.87,9.6,0,0
MW Machan,SCOT,2013-2016,13,7,22.3,0,156,5,3/23,31.20,6.93,27.0,0,0
CS MacLeod,SCOT,2009-2021,60,14,29.0,0,209,5,2/17,41.80,7.20,34.8,0,0
AK Markram,SA,2019-2021,20,8,18.0,2,134,5,3/21,26.80,7.44,21.6,0,0
Y Mitari,RWN,2021-2021,5,5,13.1,1,95,5,2/11,19.00,7.21,15.8,0,0
RP Mitchell,Bhm,2021-2021,5,5,20.0,1,167,5,2/24,33.40,8.35,24.0,0,0
Mohammed Siraj,INDIA,2017-2022,5,5,20.0,0,209,5,1/22,41.80,10.45,24.0,0,0
Mosaddek Hossain,BAN,2016-2021,16,12,21.4,0,160,5,2/21,32.00,7.38,26.0,0,0
K Motlhanka,BOT,2019-2021,11,3,6.5,0,43,5,4/30,8.60,6.29,8.2,1,0
Muhammad Nadeem,Saudi,2019-2019,5,2,5.0,0,49,5,3/16,9.80,9.80,6.0,0,0
Muhammad Saleem,,2019-2019,4,4,11.0,1,45,5,3/19,9.00,4.09,13.2,0,0
Muhammad Tanveer,QAT,2019-2021,26,9,22.5,0,164,5,1/4,32.80,7.18,27.4,0,0
PWA Mulder,SA,2021-2021,5,5,11.0,0,90,5,2/10,18.00,8.18,13.2,0,0
W Nalisa,VAN,2019-2019,9,7,20.0,0,177,5,2/25,35.40,8.85,24.0,0,0
Naved-ul-Hasan,PAK,2006-2010,4,4,14.1,0,101,5,3/19,20.20,7.12,17.0,0,0
RJ Nicol,NZ,2010-2013,21,13,20.3,0,167,5,2/20,33.40,8.14,24.6,0,0
D Nikolov,BUL,2019-2021,15,9,15.2,0,157,5,2/23,31.40,10.23,18.4,0,0
PJ Ongondo,KENYA,2007-2008,8,8,26.0,1,177,5,2/18,35.40,6.80,31.2,0,0
MIA Patel,MWI,2019-2019,3,3,12.0,0,83,5,3/25,16.60,6.91,14.4,0,0
SJ Patel,CZK-R,2021-2022,7,5,12.0,0,92,5,4/34,18.40,7.66,14.4,1,0
SS Pathirana,SL,2016-2017,5,5,15.5,0,119,5,2/23,23.80,7.51,19.0,0,0
J Perman,ESP,2019-2021,7,7,19.0,0,136,5,2/18,27.20,7.15,22.8,0,0
C Pervez,CAN,2021-2021,5,5,13.0,1,88,5,3/7,17.60,6.76,15.6,0,0
Qasim Anwar,CYP,2021-2021,4,4,13.0,0,74,5,3/15,14.80,5.69,15.6,0,0
Rahmatullah Mangal,Fran,2021-2021,4,4,14.0,1,81,5,2/12,16.20,5.78,16.8,0,0
J Rasu,VAN,2019-2019,13,2,3.5,0,44,5,5/36,8.80,11.47,4.6,0,1
Ritik Tomar,CZK-R,2022-2022,6,6,18.0,0,163,5,2/18,32.60,9.05,21.6,0,0
SR Rocket,SEY,2021-2021,6,6,20.0,1,154,5,2/24,30.80,7.70,24.0,0,0
LH Rodrigues,,2019-2019,4,4,13.0,1,61,5,3/15,12.20,4.69,15.6,0,0
MM Sarwar,KUW,2019-2021,7,5,12.4,0,113,5,2/13,22.60,8.92,15.2,0,0
E Sebareme,RWN,2021-2021,6,6,17.0,0,99,5,3/17,19.80,5.82,20.4,0,0
Amoluk Singh,Ghana,2021-2021,10,9,23.0,0,143,5,2/23,28.60,6.21,27.6,0,0
N Senamontree,THAI,2020-2020,4,4,12.3,1,95,5,2/25,19.00,7.60,15.0,0,0
Usman Shahid,Fran,2021-2021,4,4,12.2,1,76,5,3/29,15.20,6.16,14.8,0,0
J Shaju,MLT,2021-2022,8,8,26.0,0,274,5,1/24,54.80,10.53,31.2,0,0
V Shankar,INDIA,2018-2019,9,6,21.0,0,191,5,2/32,38.20,9.09,25.2,0,0
L Sipamla,SA,2019-2021,9,9,27.2,0,265,5,2/22,53.00,9.69,32.8,0,0
DC Smith,PHI,2019-2022,9,9,26.5,0,259,5,1/8,51.80,9.65,32.2,0,0
Sohail Khan,PAK,2008-2017,5,5,15.0,0,123,5,2/13,24.60,8.20,18.0,0,0
BS Stephenson,Blz,2019-2021,9,3,10.0,0,91,5,3/25,18.20,9.10,12.0,0,0
G Stewart,ITA,2021-2021,6,6,22.0,1,110,5,2/17,22.00,5.00,26.4,0,0
DC Stovell,BMUDA,2019-2021,12,8,20.1,0,163,5,2/21,32.60,8.08,24.2,0,0
Surya Anand,DEN,2021-2022,11,9,27.0,0,131,5,2/22,26.20,4.85,32.4,0,0
MB Tambe,Fin,2021-2022,7,7,23.0,0,213,5,2/37,42.60,9.26,27.6,0,0
RML Taylor,SCOT,2013-2016,9,9,25.0,1,196,5,3/17,39.20,7.84,30.0,0,0
BM Tickner,NZ,2019-2021,8,8,25.0,0,234,5,2/25,46.80,9.36,30.0,0,0
BN Toube,CAM,2021-2021,4,3,11.0,0,90,5,3/16,18.00,8.18,13.2,0,0
Usama Master,MWI,2019-2019,6,5,13.1,0,106,5,2/24,21.20,8.05,15.8,0,0
Usman Ali,Saudi,2019-2020,8,8,28.4,1,188,5,1/5,37.60,6.55,34.4,0,0
LV van Beek,NED,2014-2021,10,9,24.0,0,213,5,3/9,42.60,8.87,28.8,0,0
W Viraliliu,VAN,2019-2019,10,9,20.2,0,164,5,3/19,32.80,8.06,24.4,0,0
Virandeep Singh,MAL,2019-2022,29,11,21.2,0,174,5,2/15,34.80,8.15,25.6,0,0
AA Westphal,Mex,2019-2019,5,5,19.0,0,65,5,2/10,13.00,3.42,22.8,0,0
HN Ya France,NAM,2019-2022,18,14,26.0,0,176,5,1/3,35.20,6.76,31.2,0,0
Yamin Ahmadzai,AFG,2015-2015,2,2,7.1,0,65,5,3/34,13.00,9.06,8.6,0,0
Yasar Haroon,,2019-2019,4,4,13.0,1,72,5,2/18,14.40,5.53,15.6,0,0
C Zavoiu,ROM,2019-2022,16,5,5.3,0,44,5,3/4,8.80,8.00,6.6,0,0
Zulqarnain Haider,ESP,2019-2022,8,8,20.0,0,90,5,1/4,18.00,4.50,24.0,0,0
Abdullah Mahmood,DEN,2019-2022,2,2,5.0,0,21,4,4/12,5.25,4.20,7.5,1,0
Abdul Rahman,Aut,2019-2019,3,3,10.0,1,72,4,2/37,18.00,7.20,15.0,0,0
Abul Hasan,BAN,2012-2018,5,5,14.0,0,148,4,2/33,37.00,10.57,21.0,0,0
Abu Jayed,BAN,2018-2018,3,3,11.0,0,106,4,2/27,26.50,9.63,16.5,0,0
Adil Butt,Saudi,2020-2020,3,3,9.0,0,55,4,2/15,13.75,6.11,13.5,0,0
D Ahir,PNM,2021-2021,5,5,15.0,0,110,4,2/21,27.50,7.33,22.5,0,0
D Ajekun,NGA,2019-2021,11,6,11.1,0,76,4,1/5,19.00,6.80,16.7,0,0
NN Akhter,MLT,2020-2020,3,2,8.0,0,60,4,3/35,15.00,7.50,12.0,0,0
DI Allan,KENYA,2012-2013,10,7,9.2,0,82,4,2/8,20.50,8.78,14.0,0,0
A Andrews,SUI,2021-2022,5,4,11.0,0,82,4,3/21,20.50,7.45,16.5,0,0
MA Aponso,SL,2018-2018,3,3,10.0,0,79,4,2/29,19.75,7.90,15.0,0,0
U Aryaman Sunil,SGP,2019-2020,5,5,12.0,0,87,4,2/33,21.75,7.25,18.0,0,0
Asad Ali Rehemtulla,BUL,2020-2022,8,7,20.0,0,182,4,2/16,45.50,9.10,30.0,0,0
Aslam Mohammad,GRC,2019-2021,7,4,14.0,0,103,4,2/22,25.75,7.35,21.0,0,0
A Aspiotis,GRC,2019-2019,3,3,11.0,0,71,4,2/24,17.75,6.45,16.5,0,0
NJ Astle,NZ,2005-2006,4,2,6.5,0,50,4,3/20,12.50,7.31,10.2,0,0
R Avery,,2019-2019,4,4,11.0,0,66,4,2/13,16.50,6.00,16.5,0,0
Azam Khalil,SWE,2022-2022,4,4,15.0,0,102,4,3/27,25.50,6.80,22.5,0,0
JD Baker,Samoa,2019-2019,4,4,13.0,0,107,4,2/32,26.75,8.23,19.5,0,0
HMCM Bandara,SL,2006-2009,4,4,14.0,0,96,4,3/32,24.00,6.85,21.0,0,0
HH Banner,Blz,2019-2019,3,3,12.0,1,67,4,2/18,16.75,5.58,18.0,0,0
MD Bates,NZ,2012-2012,3,3,11.0,0,107,4,3/31,26.75,9.72,16.5,0,0
S Bau,PNG,2016-2022,33,14,20.0,0,132,4,2/4,33.00,6.60,30.0,0,0
GB Brent,ZIM,2006-2007,3,3,11.0,0,93,4,2/19,23.25,8.45,16.5,0,0
DE Burgess,Samoa,2019-2019,4,3,8.3,0,86,4,3/47,21.50,10.11,12.7,0,0
MS Chapman,HKG/NZ,2014-2021,33,6,13.0,0,95,4,1/9,23.75,7.30,19.5,0,0
PP Chawla,INDIA,2010-2012,7,7,23.0,1,151,4,2/13,37.75,6.56,34.5,0,0
FA Cossa,MOZ,2019-2021,10,8,23.0,0,187,4,2/12,46.75,8.13,34.5,0,0
MD Dai,PNG,2015-2017,9,9,25.0,0,157,4,2/13,39.25,6.28,37.5,0,0
I Danladi,NGA,2019-2019,3,3,9.0,0,52,4,2/10,13.00,5.77,13.5,0,0
K Dasan,BUL,2019-2020,10,2,8.0,0,52,4,3/23,13.00,6.50,12.0,0,0
JM Davison,CAN,2008-2010,5,5,18.0,0,91,4,2/19,22.75,5.05,27.0,0,0
Dawood Ahmadzai,Fran,2021-2021,4,4,15.0,0,79,4,2/10,19.75,5.26,22.5,0,0
BFW de Leede,NED,2018-2021,16,8,15.0,0,173,4,2/15,43.25,11.53,22.5,0,0
NS Dhaliwal,CAN,2019-2022,23,6,10.0,0,59,4,1/11,14.75,5.90,15.0,0,0
RR Emrit,WI,2018-2018,4,4,16.0,0,156,4,1/24,39.00,9.75,24.0,0,0
E Ernest,SLE,2021-2021,10,6,19.0,1,90,4,2/12,22.50,4.73,28.5,0,0
Faisal Khan,Saudi,2019-2021,11,5,13.0,0,110,4,2/14,27.50,8.46,19.5,0,0
KJ Ferrary,GIBR,2021-2022,5,4,13.0,0,78,4,2/30,19.50,6.00,19.5,0,0
T Filer,EST,2021-2021,5,3,6.2,0,41,4,3/18,10.25,6.47,9.5,0,0
O Gholami,SWE,2021-2021,5,5,17.0,0,105,4,2/22,26.25,6.17,25.5,0,0
S Goustis,GRC,2019-2019,3,3,9.0,1,42,4,2/28,10.50,4.66,13.5,0,0
Habib Ahmadzai,Aut,2019-2019,2,2,4.0,0,25,4,4/12,6.25,6.25,6.0,1,0
Haider Butt,BHR,2021-2022,9,3,6.0,0,32,4,3/19,8.00,5.33,9.0,0,0
Jandu Hamoud,KUW,2019-2019,6,6,16.0,0,112,4,2/25,28.00,7.00,24.0,0,0
HL Harji,SEY,2021-2021,2,2,8.0,0,53,4,3/21,13.25,6.62,12.0,0,0
RJ Harris,AUS,2010-2010,3,3,11.4,1,95,4,2/27,23.75,8.14,17.5,0,0
Z Hoque,THAI,2019-2020,7,7,21.0,0,122,4,1/13,30.50,5.80,31.5,0,0
MG Hunter,GIBR,2019-2019,4,4,11.3,0,63,4,2/22,15.75,5.47,17.2,0,0
Hussain Talat,PAK,2018-2021,18,6,6.0,0,54,4,2/12,13.50,9.00,9.0,0,0
Imran Bulbulia,PNM,2019-2019,3,3,10.0,0,59,4,2/20,14.75,5.90,15.0,0,0
RK Inampud,Mex,2019-2019,3,3,12.0,0,68,4,2/29,17.00,5.66,18.0,0,0
Iqbal Hossain,Aut,2021-2022,10,2,6.0,0,34,4,3/22,8.50,5.66,9.0,0,0
DF Jacobs,THAI,2019-2020,8,2,5.0,0,26,4,4/13,6.50,5.20,7.5,1,0
KA Jamieson,NZ,2020-2021,8,8,28.4,0,281,4,2/15,70.25,9.80,43.0,0,0
Jitin Singh,TAN,2021-2021,10,3,4.2,0,48,4,3/35,12.00,11.07,6.5,0,0
Joginder Sharma,INDIA,2007-2007,4,4,14.3,0,138,4,2/20,34.50,9.51,21.7,0,0
J Jojo,DEN,2019-2022,10,8,28.0,1,152,4,2/7,38.00,5.42,42.0,0,0
MBS Jonkman,NED,2010-2010,3,3,8.0,0,47,4,2/21,11.75,5.87,12.0,0,0
ST Kanakalil,MLT,2020-2020,3,2,8.0,0,74,4,4/31,18.50,9.25,12.0,1,0
S Kaul,INDIA,2018-2019,3,3,9.4,0,84,4,2/35,21.00,8.68,14.5,0,0
A Kirschbaum,Arg,2021-2021,6,6,18.1,0,136,4,1/21,34.00,7.48,27.2,0,0
S Kizilkaya,TKY,2019-2019,4,4,9.0,0,74,4,2/9,18.50,8.22,13.5,0,0
V Kohli,INDIA,2010-2022,97,12,24.2,0,198,4,1/13,49.50,8.13,36.5,0,0
Kuldeep Lal,ESP,2019-2021,11,6,13.0,0,135,4,2/33,33.75,10.38,19.5,0,0
GA Lamb,ZIM,2010-2010,5,5,12.1,0,80,4,2/14,20.00,6.57,18.2,0,0
A Lark,Aut,2019-2019,5,4,11.0,0,55,4,3/20,13.75,5.00,16.5,0,0
E Leie,SA,2015-2015,2,2,6.0,0,48,4,3/16,12.00,8.00,9.0,0,0
J Lewis,ENG,2005-2007,2,2,7.0,0,55,4,4/24,13.75,7.85,10.5,1,0
ML Lewis,AUS,2006-2006,2,2,7.3,0,49,4,2/18,12.25,6.53,11.2,0,0
CJ McKay,AUS,2010-2013,6,6,22.4,1,183,4,2/24,45.75,8.07,34.0,0,0
SW Masakadza,ZIM,2010-2013,7,7,19.3,0,211,4,2/39,52.75,10.82,29.2,0,0
GE Mathurin,WI,2011-2012,3,3,10.0,0,65,4,3/9,16.25,6.50,15.0,0,0
Mehidy Hasan Miraz,BAN,2017-2018,13,13,36.0,0,330,4,2/31,82.50,9.16,54.0,0,0
Mohameed Taiwo,NGA,2019-2021,11,11,36.0,0,282,4,1/16,70.50,7.83,54.0,0,0
Mohammad Ahsan,KUW,2019-2019,6,6,20.0,0,192,4,2/31,48.00,9.60,30.0,0,0
Mohammad Kamran,ESP,2022-2022,4,4,15.0,0,74,4,2/19,18.50,4.93,22.5,0,0
Mohammad Kashif,NED,2010-2010,3,3,7.0,0,55,4,2/28,13.75,7.85,10.5,0,0
PL Mommsen,SCOT,2012-2016,24,7,23.0,0,164,4,1/23,41.00,7.13,34.5,0,0
Mohsin Khan,HKG,2020-2020,3,3,9.0,0,72,4,3/37,18.00,8.00,13.5,0,0
G Mubiru,UGA,2021-2021,3,3,9.0,0,48,4,2/13,12.00,5.33,13.5,0,0
C Munro,NZ,2012-2020,65,12,19.4,0,186,4,1/12,46.50,9.45,29.5,0,0
N M'shangwe,ZIM,2013-2014,5,5,16.0,0,142,4,2/33,35.50,8.87,24.0,0,0
Nawroz Mangal,AFG,2010-2017,32,6,10.0,0,80,4,3/23,20.00,8.00,15.0,0,0
Nazril Rahman,MAL,2019-2020,11,9,19.0,0,186,4,2/28,46.50,9.78,28.5,0,0
JO Ngoche,KENYA,2012-2013,7,7,24.0,0,140,4,2/31,35.00,5.83,36.0,0,0
Nijat Masood,AFG,2022-2022,3,3,11.0,0,95,4,3/39,23.75,8.63,16.5,0,0
Nizakat Khan,HKG,2014-2020,43,5,14.0,0,83,4,3/19,20.75,5.92,21.0,0,0
AA Noffke,AUS,2007-2008,2,2,7.3,1,41,4,3/18,10.25,5.46,11.2,0,0
Nooruddin Mujadady,GER,2021-2022,6,5,15.0,0,148,4,2/60,37.00,9.86,22.5,0,0
Noor Ahmad,AFG,2022-2022,1,1,4.0,0,10,4,4/10,2.50,2.50,6.0,1,0
E Ochieng,KENYA,2019-2021,8,7,20.0,0,162,4,1/7,40.50,8.10,30.0,0,0
LN Onyango,KENYA,2007-2010,5,5,13.0,0,128,4,2/17,32.00,9.84,19.5,0,0
A Orfila,GIBR,2019-2021,5,5,15.0,0,135,4,2/34,33.75,9.00,22.5,0,0
Osama Mahmood,SUI,2021-2021,4,4,14.0,1,97,4,3/39,24.25,6.92,21.0,0,0
KJ Patel,SEY,2021-2021,6,6,22.1,0,148,4,2/16,37.00,6.67,33.2,0,0
MM Patel,INDIA,2011-2011,3,3,10.0,0,86,4,2/25,21.50,8.60,15.0,0,0
VD Philander,SA,2007-2007,7,6,13.5,0,114,4,2/23,28.50,8.24,20.7,0,0
S Pillai,CRC,2019-2019,3,3,8.4,0,56,4,3/14,14.00,6.46,13.0,0,0
R Powell,WI,2017-2022,39,7,14.0,0,123,4,2/31,30.75,8.78,21.0,0,0
Qais Ahmad,AFG,2020-2022,2,2,6.0,0,46,4,3/25,11.50,7.66,9.0,0,0
Qudratullah Mir Afzail,SWE,2021-2021,6,6,15.5,0,95,4,3/28,23.75,6.00,23.7,0,0
Ravi Bishnoi,INDIA,2022-2022,4,4,16.0,0,108,4,2/17,27.00,6.75,24.0,0,0
S Rossi,Arg,2019-2019,5,3,6.5,2,21,4,2/15,5.25,3.07,10.2,0,0
Sajad Ahmadzai,Belg,2022-2022,2,2,6.3,0,22,4,2/9,5.50,3.38,9.7,0,0
DR Sams,AUS,2020-2022,7,7,20.5,0,210,4,2/40,52.50,10.08,31.2,0,0
O Sam Arthur,CRC,2019-2019,3,3,9.0,0,76,4,2/21,19.00,8.44,13.5,0,0
A Sathya,Mex,2019-2019,3,3,11.3,0,76,4,2/32,19.00,6.60,17.2,0,0
CP Schofield,ENG,2007-2007,4,4,12.5,0,92,4,2/15,23.00,7.16,19.2,0,0
S Sengupta,CZK-R,2021-2022,9,6,18.0,0,169,4,3/35,42.25,9.38,27.0,0,0
Shahadat Hossain,BAN,2006-2013,6,6,20.0,0,198,4,2/22,49.50,9.90,30.0,0,0
NK Shetty,Mex,2019-2019,2,2,8.0,0,42,4,3/17,10.50,5.25,12.0,0,0
Shoaib Ali,Saudi,2019-2020,8,7,21.3,0,183,4,2/25,45.75,8.51,32.2,0,0
M Shumba,ZIM,2020-2022,15,4,11.0,0,95,4,3/16,23.75,8.63,16.5,0,0
ED Silva,KUW,2021-2021,4,4,10.0,0,47,4,2/15,11.75,4.70,15.0,0,0
LA Simango,MOZ,2019-2021,7,5,12.1,0,103,4,2/20,25.75,8.46,18.2,0,0
M Simpson-Parker,Aut,2019-2022,18,5,7.0,0,58,4,2/6,14.50,8.28,10.5,0,0
K Sinclair,WI,2021-2021,6,6,18.0,0,150,4,2/23,37.50,8.33,27.0,0,0
Sohag Gazi,BAN,2012-2015,10,10,35.0,1,299,4,1/28,74.75,8.54,52.5,0,0
CB Sole,SCOT,2017-2021,7,7,26.0,0,221,4,2/38,55.25,8.50,39.0,0,0
AO Suji,KENYA,2007-2010,8,6,16.1,1,116,4,2/23,29.00,7.17,24.2,0,0
Syed Rasel,BAN,2007-2008,8,8,29.0,2,202,4,1/10,50.50,6.96,43.5,0,0
T Taylor,Caym,2019-2022,10,8,21.0,0,161,4,1/17,40.25,7.66,31.5,0,0
TG Thamae,LES,2021-2021,5,4,10.0,0,85,4,2/19,21.25,8.50,15.0,0,0
KK Tillett,Blz,2021-2021,5,3,5.2,0,74,4,3/24,18.50,13.87,8.0,0,0
AJ Turner,AUS,2017-2021,18,6,13.0,0,82,4,2/12,20.50,6.30,19.5,0,0
A Uniyal,Chile,2019-2019,3,3,9.0,1,59,4,3/17,14.75,6.55,13.5,0,0
Usman Khan,Fran,2021-2021,4,4,13.0,0,83,4,3/28,20.75,6.38,19.5,0,0
TCW Veillard,GUE,2019-2019,4,4,16.0,0,93,4,1/15,23.25,5.81,24.0,0,0
Vichanath Singh,THAI,2019-2020,8,7,22.5,1,152,4,1/15,38.00,6.65,34.2,0,0
BV Vitori,ZIM,2012-2016,11,11,39.4,0,323,4,1/24,80.75,8.14,59.5,0,0
Waqar Abbasi,ROM,2020-2021,3,3,11.0,0,79,4,2/30,19.75,7.18,16.5,0,0
K Weeraratne,SL,2008-2009,5,5,15.0,0,126,4,4/19,31.50,8.40,22.5,1,0
CM Wright,SCOT,2007-2009,3,2,5.0,0,49,4,3/29,12.25,9.80,7.5,0,0
Yasir Mehmood,CYP,2021-2021,4,4,12.0,0,83,4,3/32,20.75,6.91,18.0,0,0
Zain Ul Abidin,Saudi,2021-2021,4,4,13.0,0,82,4,2/22,20.50,6.30,19.5,0,0
V Zimonjic,SRB,2021-2021,4,4,13.0,1,110,4,2/27,27.50,8.46,19.5,0,0
Aarif Sheikh,NEPAL,2018-2022,27,7,12.0,0,79,3,1/2,26.33,6.58,24.0,0,0
Aaron Jones,USA,2019-2021,14,6,12.0,0,55,3,1/6,18.33,4.58,24.0,0,0
Abdul Waheed,Saudi,2020-2021,7,2,3.0,0,13,3,2/11,4.33,4.33,6.0,0,0
AS Abioye,NGA,2019-2019,5,4,10.0,0,87,3,2/26,29.00,8.70,20.0,0,0
AR Adams,NZ,2005-2006,4,4,12.5,0,105,3,2/20,35.00,8.18,25.6,0,0
